id,nama,email,tanggal_lahir,bulan_lahir,total_belanja,kota
1,Ushiromiya Maria,ushiromiya.maria@gmail.com,2005-07-05,7,43356981,Rokkenjima
2,Historia Reiss,historia.reiss@gmail.com,1997-01-01,1,16603296,Osaka
3,Sato Miwako,sato.miwako@gmail.com,2000-10-24,10,31507578,Shibuya
4,Sting Eucliffe,sting.eucliffe@gmail.com,2008-12-14,12,7790708,Nagoya
5,Kenny Ackerman,kenny.ackerman@gmail.com,1999-10-16,10,37850092,Sendai
6,Sato Miwako,sato.miwako@gmail.com,1995-01-23,1,47211725,Magnolia
7,Ushiromiya Eva,ushiromiya.eva@gmail.com,2004-02-25,2,20710408,Fukuoka
8,Suzuki Sonoko,suzuki.sonoko@gmail.com,1995-01-24,1,43115482,Tokyo
9,Levy McGarden,levy.mcgarden@gmail.com,2001-09-02,9,25005643,Fukuoka
10,Layla Heartfilia,layla.heartfilia@gmail.com,2001-06-26,6,38313013,Hakone
11,Urushibara Ruka,urushibara.ruka@gmail.com,2001-10-13,10,27557838,Beika
12,Kuroba Kaito,kuroba.kaito@gmail.com,1996-06-03,6,810694,Shibuya
13,Kasashima Nozomi,kasashima.nozomi@gmail.com,1998-05-26,5,323651,Sapporo
14,Okabe Rintarou,okabe.rintarou@gmail.com,1997-11-11,11,48806296,Sendai
15,Jean Kirstein,jean.kirstein@gmail.com,2004-11-22,11,743800,Hakone
16,Makise Kurisu,makise.kurisu@gmail.com,2005-09-27,9,27006157,Osaka
17,Armin Arlert,armin.arlert@gmail.com,2009-05-23,5,8087105,Rokkenjima
18,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,2008-12-12,12,40228375,Sapporo
19,Hirasawa Yui,hirasawa.yui@gmail.com,2003-12-04,12,20979788,Akihabara
20,Manabe Nodoka,manabe.nodoka@gmail.com,1998-03-10,3,8769815,Sendai
21,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,2003-11-07,11,14439568,Sapporo
22,Ushiromiya Maria,ushiromiya.maria@gmail.com,2002-05-28,5,32889876,Shibuya
23,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,1998-03-21,3,45148214,Fukuoka
24,Shiina Mayuri,shiina.mayuri@gmail.com,2009-03-09,3,16974788,Kobe
25,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1996-09-03,9,4672920,Magnolia
26,Erwin Smith,erwin.smith@gmail.com,1995-01-22,1,28886349,Hakone
27,Manabe Nodoka,manabe.nodoka@gmail.com,2001-01-20,1,1315458,Sapporo
28,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,2007-07-08,7,47007798,Kobe
29,Oumae Kumiko,oumae.kumiko@gmail.com,2009-01-02,1,18002630,Shibuya
30,Kisaki Eri,kisaki.eri@gmail.com,1997-12-25,12,8338639,Magnolia
31,Sato Miwako,sato.miwako@gmail.com,2008-08-23,8,23443394,Nagoya
32,Makise Kurisu,makise.kurisu@gmail.com,2009-05-27,5,23446148,Tokyo
33,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2006-03-25,3,531469,Sapporo
34,Igneel Dragneel,igneel.dragneel@gmail.com,2003-03-04,3,33290668,Ikebukuro
35,Connie Springer,connie.springer@gmail.com,1998-05-08,5,46161725,Ikebukuro
36,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2005-09-01,9,45543361,Shibuya
37,Yoshii Junna,yoshii.junna@gmail.com,1997-10-19,10,37677523,Osaka
38,Mirajane Strauss,mirajane.strauss@gmail.com,2002-10-20,10,22100315,Tokyo
39,Mikasa Ackerman,mikasa.ackerman@gmail.com,2006-03-22,3,39407018,Akihabara
40,Levi Ackerman,levi.ackerman@gmail.com,2009-01-24,1,5824629,Sendai
41,Haibara Ai,haibara.ai@gmail.com,1996-05-04,5,31309067,Ikebukuro
42,Amuro Tooru,amuro.tooru@gmail.com,1998-03-26,3,33037232,Magnolia
43,Sera Masumi,sera.masumi@gmail.com,1996-07-26,7,20824151,Fukuoka
44,Hijiri Kanade,hijiri.kanade@gmail.com,1996-12-11,12,37955139,Rokkenjima
45,Ronove,ronove@gmail.com,2000-06-27,6,3812927,Sapporo
46,Yokomizo Jugo,yokomizo.jugo@gmail.com,2000-05-05,5,19543365,Tokyo
47,Natsu Dragneel,natsu.dragneel@gmail.com,1997-11-15,11,8619786,Sendai
48,Hashida Itaru,hashida.itaru@gmail.com,1995-07-15,7,39867292,Osaka
49,Gajeel Redfox,gajeel.redfox@gmail.com,2004-10-28,10,23304085,Osaka
50,Kuroba Kaito,kuroba.kaito@gmail.com,2001-12-01,12,47580058,Kyoto
51,Kousaka Reina,kousaka.reina@gmail.com,1997-01-21,1,8320682,Beika
52,Armin Arlert,armin.arlert@gmail.com,1999-03-17,3,32288600,Tokyo
53,Armin Arlert,armin.arlert@gmail.com,2003-06-28,6,11779750,Shibuya
54,Manabe Nodoka,manabe.nodoka@gmail.com,2001-10-04,10,40658462,Osaka
55,Jean Kirstein,jean.kirstein@gmail.com,1997-08-18,8,16403695,Kobe
56,Kasashima Nozomi,kasashima.nozomi@gmail.com,2004-10-02,10,28600073,Akihabara
57,Gajeel Redfox,gajeel.redfox@gmail.com,2009-03-09,3,33535478,Shinjuku
58,Mouri Ran,mouri.ran@gmail.com,1999-06-11,6,11261594,Beika
59,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,1996-06-15,6,17553052,Yokohama
60,Hashida Itaru,hashida.itaru@gmail.com,2003-09-07,9,13184473,Shibuya
61,Hashida Itaru,hashida.itaru@gmail.com,2006-04-16,4,17456942,Osaka
62,Yokomizo Jugo,yokomizo.jugo@gmail.com,2004-08-08,8,38674786,Uji
63,Sasha Blouse,sasha.blouse@gmail.com,1998-10-10,10,15528925,Hakone
64,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,2002-04-14,4,22991050,Magnolia
65,Kato Yuko,kato.yuko@gmail.com,2003-06-09,6,36770720,Rokkenjima
66,Gajeel Redfox,gajeel.redfox@gmail.com,2008-11-05,11,26429813,Ikebukuro
67,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2009-06-21,6,31981518,Shinjuku
68,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,1998-08-09,8,49621722,Shibuya
69,Hattori Heiji,hattori.heiji@gmail.com,1998-03-22,3,14973490,Nagoya
70,Mikasa Ackerman,mikasa.ackerman@gmail.com,1999-04-03,4,11498986,Ikebukuro
71,Nakano Azusa,nakano.azusa@gmail.com,2004-10-24,10,20171813,Sendai
72,Historia Reiss,historia.reiss@gmail.com,2007-01-16,1,28569581,Magnolia
73,Amane Suzuha,amane.suzuha@gmail.com,2002-02-19,2,43997073,Hakone
74,Mirajane Strauss,mirajane.strauss@gmail.com,1998-08-13,8,9700132,Rokkenjima
75,Edogawa Conan,edogawa.conan@gmail.com,1998-07-15,7,13098787,Shinjuku
76,Hirasawa Yui,hirasawa.yui@gmail.com,2007-12-01,12,4047225,Kobe
