id,nama,email,tanggal_lahir,bulan_lahir,total_belanja,kota
1,Hakuba Saguru,hakuba.saguru@gmail.com,2005-02-26,2,22460945,Osaka
2,Lucy Heartfilia,lucy.heartfilia@gmail.com,1988-03-18,3,48279815,Kyoto
3,Erwin Smith,erwin.smith@gmail.com,2009-12-16,12,49631024,Ikebukuro
4,Urushibara Ruka,urushibara.ruka@gmail.com,1985-07-14,7,29897494,Ikebukuro
5,Connie Springer,connie.springer@gmail.com,2002-08-08,8,35536588,Kobe
6,Suzuki Sonoko,suzuki.sonoko@gmail.com,1985-07-19,7,16410384,Hakone
7,Kawashima Sapphire,kawashima.sapphire@gmail.com,2004-07-04,7,7341571,Beika
8,Reiner Braun,reiner.braun@gmail.com,1994-11-16,11,2179072,Shibuya
9,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1991-04-21,4,37665059,Shibuya
10,Zeke Yeager,zeke.yeager@gmail.com,2009-04-18,4,17789823,Shinjuku
11,Okabe Rintarou,okabe.rintarou@gmail.com,1987-11-10,11,9961412,Shibuya
12,Goto Hazuki,goto.hazuki@gmail.com,2004-02-08,2,15234651,Sapporo
13,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1991-10-02,10,8066166,Shinjuku
14,Mikasa Ackerman,mikasa.ackerman@gmail.com,1991-11-17,11,11030610,Kyoto
15,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,1988-03-13,3,22175622,Beika
16,Wendy Marvell,wendy.marvell@gmail.com,2005-04-01,4,32438200,Tokyo
17,Mirajane Strauss,mirajane.strauss@gmail.com,1992-02-25,2,36349985,Nagoya
18,Connie Springer,connie.springer@gmail.com,1993-12-22,12,2920962,Sapporo
19,Reiner Braun,reiner.braun@gmail.com,2005-02-10,2,39547884,Akihabara
20,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,1985-04-22,4,30665511,Nagoya
21,Sato Miwako,sato.miwako@gmail.com,1986-05-23,5,31528555,Hakone
22,Kousaka Reina,kousaka.reina@gmail.com,1992-03-25,3,24861966,Rokkenjima
23,Farah Nae,farah.nae@gmail.com,1982-05-19,5,23523353,Rokkenjima
24,Ronove,ronove@gmail.com,1982-04-03,4,42417095,Ikebukuro
25,Zeref Alvarez,zeref.alvarez@gmail.com,1992-09-17,9,25117199,Ikebukuro
26,Haibara Ai,haibara.ai@gmail.com,1981-04-01,4,11151287,Hakone
27,Zeref Alvarez,zeref.alvarez@gmail.com,1998-02-13,2,43499424,Kyoto
28,Megure Juzo,megure.juzo@gmail.com,1985-02-23,2,22236238,Ikebukuro
29,Suzuki Sonoko,suzuki.sonoko@gmail.com,1991-12-23,12,49205972,Fukuoka
30,Saito Sumire,saito.sumire@gmail.com,1985-08-24,8,9722753,Kyoto
31,Ushiromiya Battler,ushiromiya.battler@gmail.com,1986-04-01,4,40131455,Rokkenjima
32,Tainaka Ritsu,tainaka.ritsu@gmail.com,2005-11-08,11,9877461,Yokohama
33,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,1984-06-22,6,17817653,Yokohama
34,Shiina Mayuri,shiina.mayuri@gmail.com,1988-08-05,8,8611423,Rokkenjima
35,Sera Masumi,sera.masumi@gmail.com,1999-09-02,9,37764945,Sapporo
36,Lisanna Strauss,lisanna.strauss@gmail.com,1996-12-05,12,25109082,Tokyo
37,Wendy Marvell,wendy.marvell@gmail.com,1986-10-23,10,37726408,Rokkenjima
38,Lisanna Strauss,lisanna.strauss@gmail.com,1987-10-26,10,27935751,Sendai
39,Okabe Rintarou,okabe.rintarou@gmail.com,1992-02-23,2,37666274,Ikebukuro
40,Tanaka Asuka,tanaka.asuka@gmail.com,1982-05-04,5,39568255,Rokkenjima
41,Kiryuu Moeka,kiryuu.moeka@gmail.com,1998-07-19,7,25362318,Akihabara
42,Reiner Braun,reiner.braun@gmail.com,1992-12-25,12,19751896,Fukuoka
43,Kuroba Kaito,kuroba.kaito@gmail.com,1985-06-17,6,15361740,Hakone
44,Hattori Heiji,hattori.heiji@gmail.com,1980-12-11,12,49305878,Fukuoka
45,Edogawa Conan,edogawa.conan@gmail.com,1998-06-12,6,8786031,Sendai
46,Rogue Oro,rogue.oro@gmail.com,1987-01-05,1,13453679,Ikebukuro
47,Levi Ackerman,levi.ackerman@gmail.com,1986-01-01,1,14267797,Hakone
48,Gaap,gaap@gmail.com,1995-08-09,8,3107953,Rokkenjima
49,Chiba Kazunobu,chiba.kazunobu@gmail.com,1994-09-07,9,25064995,Nagoya
50,Gajeel Redfox,gajeel.redfox@gmail.com,2003-03-18,3,19165449,Akihabara
51,Erwin Smith,erwin.smith@gmail.com,1980-01-10,1,27602208,Kobe
52,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1980-08-10,8,38053934,Yokohama
53,Amane Suzuha,amane.suzuha@gmail.com,2008-01-25,1,8680972,Kobe
54,Manabe Nodoka,manabe.nodoka@gmail.com,1983-08-22,8,4565280,Yokohama
55,Okabe Rintarou,okabe.rintarou@gmail.com,1992-01-11,1,33828909,Kobe
56,Erwin Smith,erwin.smith@gmail.com,1999-02-06,2,34996554,Kyoto
